,UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_H,Type_L,Type_M,Failure Type_Heat Dissipation Failure,Failure Type_No Failure,Failure Type_Overstrain Failure,Failure Type_Power Failure,Failure Type_Random Failures,Failure Type_Tool Wear Failure
150,151,298.4,308.3,1422,42.7,186,0,0,1,0,0,1,0,0,0,0
151,152,298.4,308.2,1463,37.6,188,0,0,0,1,0,1,0,0,0,0
152,153,298.4,308.2,1584,41.0,191,0,0,0,1,0,1,0,0,0,0
153,154,298.4,308.2,1850,27.0,194,0,0,1,0,0,1,0,0,0,0
154,155,298.4,308.2,1528,36.2,196,0,0,1,0,0,1,0,0,0,0
155,156,298.4,308.2,1987,19.8,198,0,1,0,0,0,1,0,0,0,0
156,157,298.4,308.1,1495,46.0,203,0,0,0,1,0,1,0,0,0,0
157,158,298.4,308.2,1478,43.5,206,0,1,0,0,0,1,0,0,0,0
158,159,298.4,308.2,1499,40.0,211,0,0,0,1,0,1,0,0,0,0
159,160,298.4,308.2,1471,47.0,214,0,0,1,0,0,1,0,0,0,0
160,161,298.4,308.2,1282,60.7,216,1,0,1,0,0,0,1,0,0,0
161,162,298.3,308.1,1412,52.3,218,1,0,1,0,0,0,1,0,0,0
162,163,298.3,308.1,1586,35.5,0,0,0,1,0,0,1,0,0,0,0
163,164,298.4,308.2,1468,43.8,2,0,0,0,1,0,1,0,0,0,0
164,165,298.5,308.3,1440,43.6,5,0,0,0,1,0,1,0,0,0,0
165,166,298.5,308.4,1733,26.0,8,0,0,1,0,0,1,0,0,0,0
166,167,298.4,308.2,1612,32.6,10,0,1,0,0,0,1,0,0,0,0
167,168,298.4,308.3,1458,42.9,15,0,1,0,0,0,1,0,0,0,0
168,169,298.4,308.3,1433,62.3,20,1,0,1,0,0,0,0,1,0,0
169,170,298.4,308.3,1318,59.1,22,0,0,1,0,0,1,0,0,0,0
170,171,298.4,308.2,1610,35.0,24,0,0,0,1,0,1,0,0,0,0
171,172,298.2,308.1,1462,50.8,27,0,0,1,0,0,1,0,0,0,0
172,173,298.1,308.0,1924,20.8,29,0,0,0,1,0,1,0,0,0,0
173,174,298.2,308.0,1591,33.7,32,0,0,0,1,0,1,0,0,0,0
174,175,298.2,308.1,1306,58.3,35,0,0,1,0,0,1,0,0,0,0
175,176,298.2,308.1,1382,43.5,37,0,0,1,0,0,1,0,0,0,0
176,177,298.2,308.1,1618,34.7,39,0,0,1,0,0,1,0,0,0,0
177,178,298.2,308.2,1988,21.4,41,0,0,1,0,0,1,0,0,0,0
178,179,298.2,308.2,1436,50.2,43,0,0,1,0,0,1,0,0,0,0
179,180,298.2,308.3,1304,49.8,45,0,0,1,0,0,1,0,0,0,0
180,181,298.2,308.3,1475,49.9,47,0,0,1,0,0,1,0,0,0,0
181,182,298.2,308.3,1824,24.2,49,0,1,0,0,0,1,0,0,0,0
182,183,298.1,308.2,1342,48.1,54,0,0,0,1,0,1,0,0,0,0
183,184,298.1,308.2,1485,40.7,57,0,0,1,0,0,1,0,0,0,0
184,185,298.2,308.2,1667,30.6,59,0,0,1,0,0,1,0,0,0,0
185,186,298.2,308.2,1446,38.2,61,0,0,1,0,0,1,0,0,0,0
186,187,298.1,308.3,1301,56.0,63,0,0,1,0,0,1,0,0,0,0
187,188,298.2,308.4,1379,43.1,65,0,0,1,0,0,1,0,0,0,0
188,189,298.3,308.5,1606,33.6,67,0,0,1,0,0,1,0,0,0,0
189,190,298.3,308.4,1539,43.4,69,0,0,0,1,0,1,0,0,0,0
190,191,298.2,308.4,1477,49.9,72,0,0,1,0,0,1,0,0,0,0
191,192,298.2,308.4,1666,34.6,74,0,0,1,0,0,1,0,0,0,0
192,193,298.2,308.4,1398,51.8,76,0,1,0,0,0,1,0,0,0,0
193,194,298.2,308.4,1678,34.6,81,0,1,0,0,0,1,0,0,0,0
194,195,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,0,1,0,0
195,196,298.3,308.5,1453,42.9,89,0,0,1,0,0,1,0,0,0,0
196,197,298.3,308.6,1432,49.5,91,0,1,0,0,0,1,0,0,0,0
197,198,298.4,308.6,1527,40.9,96,0,0,0,1,0,1,0,0,0,0
198,199,298.4,308.7,1588,35.0,99,0,0,1,0,0,1,0,0,0,0
199,200,298.4,308.6,1433,47.1,101,0,0,1,0,0,1,0,0,0,0
200,201,298.4,308.6,1609,35.0,103,0,0,1,0,0,1,0,0,0,0
201,202,298.3,308.5,1575,41.2,105,0,0,1,0,0,1,0,0,0,0
202,203,298.4,308.5,1636,35.7,107,0,0,0,1,0,1,0,0,0,0
203,204,298.4,308.5,1490,37.9,110,0,0,1,0,0,1,0,0,0,0
204,205,298.4,308.5,1741,32.8,112,0,0,1,0,0,1,0,0,0,0
205,206,298.5,308.6,1344,53.0,114,0,0,0,1,0,1,0,0,0,0
206,207,298.5,308.7,1609,35.3,117,0,0,1,0,0,1,0,0,0,0
207,208,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,0,1,0,0
208,209,298.4,308.6,1591,36.7,122,0,0,1,0,0,1,0,0,0,0
209,210,298.4,308.6,1477,44.0,124,0,0,1,0,0,1,0,0,0,0
210,211,298.4,308.7,1523,36.1,126,0,0,1,0,0,1,0,0,0,0
211,212,298.5,308.7,1575,33.9,128,0,0,1,0,0,1,0,0,0,0
212,213,298.4,308.7,1344,52.9,130,0,1,0,0,0,1,0,0,0,0
213,214,298.4,308.7,1386,44.9,135,0,0,1,0,0,1,0,0,0,0
214,215,298.3,308.6,1589,37.1,137,0,0,0,1,0,1,0,0,0,0
215,216,298.3,308.6,1548,40.3,140,0,0,1,0,0,1,0,0,0,0
216,217,298.3,308.6,1499,38.3,142,0,0,1,0,0,1,0,0,0,0
217,218,298.3,308.5,1664,31.6,144,0,0,1,0,0,1,0,0,0,0
218,219,298.3,308.6,1447,38.1,146,0,0,1,0,0,1,0,0,0,0
219,220,298.3,308.5,1434,46.2,148,0,0,0,1,0,1,0,0,0,0
220,221,298.3,308.5,1416,52.7,151,0,0,1,0,0,1,0,0,0,0
221,222,298.4,308.5,1827,24.3,153,0,1,0,0,0,1,0,0,0,0
222,223,298.4,308.6,1304,45.0,158,0,0,1,0,0,1,0,0,0,0
223,224,298.4,308.6,1569,34.4,160,0,0,1,0,0,1,0,0,0,0
224,225,298.3,308.6,1584,29.3,162,0,0,1,0,0,1,0,0,0,0
225,226,298.3,308.5,1362,53.8,164,0,0,1,0,0,1,0,0,0,0
226,227,298.3,308.4,1329,49.2,166,0,0,1,0,0,1,0,0,0,0
227,228,298.3,308.5,1539,36.1,168,0,0,1,0,0,1,0,0,0,0
228,229,298.3,308.5,1629,37.1,170,0,0,0,1,0,1,0,0,0,0
229,230,298.3,308.5,1538,32.2,173,0,0,1,0,0,1,0,0,0,0
230,231,298.3,308.6,1570,34.8,175,0,0,1,0,0,1,0,0,0,0
231,232,298.3,308.4,1408,43.1,177,0,0,1,0,0,1,0,0,0,0
232,233,298.2,308.4,1424,47.6,179,0,0,1,0,0,1,0,0,0,0
233,234,298.2,308.4,1512,34.9,181,0,0,1,0,0,1,0,0,0,0
234,235,298.2,308.4,1478,42.9,183,0,0,1,0,0,1,0,0,0,0
235,236,298.1,308.3,1680,33.7,185,0,0,0,1,0,1,0,0,0,0
236,237,298.1,308.3,1495,38.7,188,0,0,1,0,0,1,0,0,0,0
237,238,298.0,308.1,1552,36.6,190,0,0,0,1,0,1,0,0,0,0
238,239,297.9,308.1,1393,50.3,193,0,0,1,0,0,1,0,0,0,0
239,240,298.0,308.2,1611,30.6,195,0,0,1,0,0,1,0,0,0,0
240,241,298.0,308.1,1339,51.6,197,0,0,0,1,0,1,0,0,0,0
241,242,298.0,308.1,1777,24.3,200,0,0,1,0,0,1,0,0,0,0
242,243,298.0,308.2,1348,58.8,202,1,0,1,0,0,0,1,0,0,0
243,244,298.0,308.2,1442,44.1,204,0,0,1,0,0,1,0,0,0,0
244,245,298.0,308.2,1395,49.1,206,0,0,0,1,0,1,0,0,0,0
245,246,297.9,308.1,1627,31.4,209,0,0,0,1,0,1,0,0,0,0
246,247,297.9,308.1,1585,33.5,212,0,0,1,0,0,1,0,0,0,0
247,248,298.0,308.2,1469,45.5,214,0,0,1,0,0,1,0,0,0,0
248,249,298.0,308.3,1362,56.8,216,1,0,1,0,0,0,1,0,0,0
249,250,298.0,308.3,1405,56.2,218,1,0,1,0,0,0,1,0,0,0
250,251,298.0,308.3,1662,32.7,0,0,0,1,0,0,1,0,0,0,0
251,252,298.0,308.2,1466,42.6,2,0,0,0,1,0,1,0,0,0,0
252,253,298.0,308.2,1620,35.8,5,0,0,1,0,0,1,0,0,0,0
253,254,298.0,308.2,1357,48.2,7,0,0,1,0,0,1,0,0,0,0
254,255,298.0,308.2,1514,37.9,9,0,0,1,0,0,1,0,0,0,0
255,256,298.0,308.2,1489,40.4,11,0,0,1,0,0,1,0,0,0,0
256,257,298.1,308.3,1331,63.0,13,0,0,1,0,0,1,0,0,0,0
257,258,298.0,308.0,1615,29.5,15,0,0,1,0,0,1,0,0,0,0
258,259,298.1,308.2,1482,37.9,17,0,0,1,0,0,1,0,0,0,0
259,260,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,0,1,0,0
260,261,298.2,308.3,1522,49.1,22,0,0,0,1,0,1,0,0,0,0
261,262,298.1,308.2,1654,32.1,25,0,0,1,0,0,1,0,0,0,0
262,263,298.1,308.2,1736,26.8,27,0,0,0,1,0,1,0,0,0,0
263,264,298.0,308.1,1587,32.3,30,0,0,0,1,0,1,0,0,0,0
264,265,298.1,308.2,1390,47.5,33,0,0,1,0,0,1,0,0,0,0
265,266,298.0,308.1,1454,37.1,35,0,0,1,0,0,1,0,0,0,0
266,267,298.0,308.1,1440,43.7,37,0,1,0,0,0,1,0,0,0,0
267,268,297.9,308.0,1954,21.1,42,0,0,1,0,0,1,0,0,0,0
268,269,297.9,308.0,1800,24.8,44,0,1,0,0,0,1,0,0,0,0
269,270,298.0,308.0,1524,37.0,49,0,0,1,0,0,1,0,0,0,0
270,271,298.0,308.0,1520,39.6,51,0,1,0,0,0,1,0,0,0,0
271,272,298.1,308.1,1452,40.8,56,0,0,0,1,0,1,0,0,0,0
272,273,298.1,308.1,1484,40.4,59,0,0,1,0,0,1,0,0,0,0
273,274,298.1,308.0,1426,46.0,61,0,0,1,0,0,1,0,0,0,0
274,275,298.1,308.0,1652,28.5,63,0,0,1,0,0,1,0,0,0,0
275,276,298.0,308.0,1401,54.7,65,0,0,1,0,0,1,0,0,0,0
276,277,298.0,307.9,1750,26.6,67,0,0,0,1,0,1,0,0,0,0
277,278,298.0,308.0,1479,50.7,70,0,1,0,0,0,1,0,0,0,0
278,279,298.0,308.0,1620,29.4,75,0,0,0,1,0,1,0,0,0,0
279,280,298.0,308.1,1819,23.4,78,0,0,1,0,0,1,0,0,0,0
280,281,298.1,308.1,1456,43.7,80,0,0,0,1,0,1,0,0,0,0
281,282,298.1,308.0,1626,36.5,83,0,0,1,0,0,1,0,0,0,0
282,283,298.1,308.1,1390,49.8,85,0,0,0,1,0,1,0,0,0,0
283,284,298.2,308.2,1469,43.0,88,0,0,1,0,0,1,0,0,0,0
284,285,298.2,308.3,2051,19.2,90,0,0,1,0,0,1,0,0,0,0
285,286,298.2,308.3,1568,36.0,92,0,0,1,0,0,1,0,0,0,0
286,287,298.2,308.3,1589,33.2,94,0,0,1,0,0,1,0,0,0,0
287,288,298.2,308.3,1805,31.6,96,0,0,1,0,0,1,0,0,0,0
288,289,298.2,308.4,1385,42.2,98,0,1,0,0,0,1,0,0,0,0
289,290,298.1,308.4,1436,46.7,103,0,0,1,0,0,1,0,0,0,0
290,291,298.1,308.4,1438,45.6,105,0,0,1,0,0,1,0,0,0,0
291,292,298.0,308.3,1473,42.6,107,0,0,1,0,0,1,0,0,0,0
292,293,298.1,308.4,1335,40.2,109,0,0,1,0,0,1,0,0,0,0
293,294,298.1,308.5,1392,44.8,111,0,1,0,0,0,1,0,0,0,0
294,295,298.1,308.5,1372,51.1,116,0,0,0,1,0,1,0,0,0,0
295,296,298.1,308.6,1716,30.7,119,0,0,0,1,0,1,0,0,0,0
296,297,298.0,308.5,1395,46.2,122,0,0,1,0,0,1,0,0,0,0
297,298,298.0,308.5,1713,25.3,124,0,0,1,0,0,1,0,0,0,0
298,299,297.9,308.5,2129,18.7,126,0,1,0,0,0,1,0,0,0,0
299,300,297.8,308.3,1567,35.6,131,0,0,0,1,0,1,0,0,0,0
300,301,297.8,308.4,1622,38.3,134,0,0,1,0,0,1,0,0,0,0
301,302,297.7,308.4,1740,27.1,136,0,0,1,0,0,1,0,0,0,0
302,303,297.8,308.4,1512,35.1,138,0,1,0,0,0,1,0,0,0,0
303,304,297.8,308.4,1479,43.5,143,0,0,0,1,0,1,0,0,0,0
304,305,297.8,308.4,1737,27.5,146,0,0,1,0,0,1,0,0,0,0
305,306,297.8,308.4,2129,19.2,148,0,0,1,0,0,1,0,0,0,0
306,307,297.8,308.4,1374,47.1,150,0,0,1,0,0,1,0,0,0,0
307,308,297.8,308.4,1579,36.6,152,0,0,0,1,0,1,0,0,0,0
308,309,297.9,308.5,1305,47.2,155,0,0,1,0,0,1,0,0,0,0
309,310,297.9,308.5,1449,40.8,157,0,0,0,1,0,1,0,0,0,0
310,311,298.0,308.6,1526,41.8,160,0,1,0,0,0,1,0,0,0,0
311,312,298.0,308.6,1453,44.1,165,0,0,0,1,0,1,0,0,0,0
312,313,297.9,308.6,1468,36.0,168,0,0,1,0,0,1,0,0,0,0
313,314,298.0,308.6,1313,50.8,170,0,0,1,0,0,1,0,0,0,0
314,315,297.9,308.5,1300,53.0,172,0,0,0,1,0,1,0,0,0,0
315,316,297.9,308.4,1646,40.6,175,0,0,1,0,0,1,0,0,0,0
316,317,297.8,308.4,1714,33.2,177,0,0,1,0,0,1,0,0,0,0
317,318,297.8,308.4,1685,28.4,179,0,0,1,0,0,1,0,0,0,0
318,319,297.8,308.4,1512,39.9,181,0,0,1,0,0,1,0,0,0,0
319,320,297.8,308.4,1612,32.1,183,0,0,1,0,0,1,0,0,0,0
320,321,297.8,308.4,1550,38.2,185,0,1,0,0,0,1,0,0,0,0
321,322,297.8,308.4,1518,32.5,190,0,0,1,0,0,1,0,0,0,0
322,323,297.8,308.5,1448,40.0,192,0,0,1,0,0,1,0,0,0,0
323,324,297.8,308.5,1561,46.3,194,0,0,1,0,0,1,0,0,0,0
324,325,297.8,308.5,1488,41.9,196,0,0,0,1,0,1,0,0,0,0
325,326,297.8,308.5,1699,27.8,199,0,0,1,0,0,1,0,0,0,0
326,327,297.7,308.5,1501,41.4,201,0,0,1,0,0,1,0,0,0,0
327,328,297.7,308.5,1373,56.7,203,1,0,1,0,0,0,1,0,0,0
328,329,297.6,308.4,1703,31.4,205,0,1,0,0,0,1,0,0,0,0
329,330,297.7,308.5,1720,29.9,210,0,1,0,0,0,1,0,0,0,0
330,331,297.6,308.4,1398,41.9,215,0,0,0,1,0,1,0,0,0,0
331,332,297.6,308.4,1391,51.9,218,0,0,0,1,0,1,0,0,0,0
332,333,297.6,308.3,1538,40.2,0,0,0,0,1,0,1,0,0,0,0
333,334,297.5,308.2,1647,31.3,3,0,0,1,0,0,1,0,0,0,0
